2024-06-05 19:29:47,089 INFO: ------------------------------------------------------------------------------------------------------------------------
2024-06-05 19:29:47,090 INFO: Starting processing.
2024-06-05 19:29:47,090 INFO: Loading tweets.
2024-06-05 19:29:47,689 INFO: 061854 tweets have being loaded.
2024-06-05 19:29:47,690 INFO: Processing tweets.
2024-06-05 19:29:47,692 INFO:     Preprocessing texts.
2024-06-05 19:29:55,848 INFO:        - seed = 1712
2024-06-05 19:37:57,825 INFO:     Filtering by language performed.
2024-06-05 19:37:57,827 INFO:        + There are 3897 texts that have been discarded.
2024-06-05 19:37:57,828 INFO:        + There are 50150 texts left.
2024-06-05 19:37:57,829 INFO:     Tag filtering and lemmatizing.
2024-06-05 19:42:56,685 INFO:     Tag filtering and lemmatizing performed.
2024-06-05 19:42:56,686 INFO:        + There are 140 texts that have been discarded.
2024-06-05 19:42:56,687 INFO:        + There are 50010 texts left.
2024-06-05 19:42:56,688 INFO:     Stemming.
2024-06-05 19:43:09,403 INFO:     Steming performed.
2024-06-05 19:43:09,404 INFO:        + There are 25 texts that have been discarded.
2024-06-05 19:43:09,405 INFO:        + There are 49985 texts left.
2024-06-05 19:43:09,406 INFO:     Token embedding by similarity.
2024-06-05 19:43:14,279 INFO:     Token embedding by similarity performed.
2024-06-05 19:43:14,280 INFO:        + There are 18 texts that have been discarded.
2024-06-05 19:43:14,281 INFO:        + There are 49967 texts left.
2024-06-05 19:43:14,282 INFO:     Least frequent tokens removal with parameters:
2024-06-05 19:43:14,282 INFO:        - min_frequency = 3
2024-06-05 19:46:25,462 INFO:     Least frequent tokens removal performed.
2024-06-05 19:46:25,463 INFO:        + There are 70 texts that have been discarded.
2024-06-05 19:46:25,463 INFO:        + There are 49897 texts left.
2024-06-05 19:46:25,464 INFO:     Bigrams detection.
2024-06-05 19:46:25,464 INFO:        - min_count = 90
2024-06-05 19:46:25,465 INFO:        - min_count = 0.85
2024-06-05 19:46:25,465 INFO:        - min_count = npmi
2024-06-05 19:46:27,553 INFO:     Bigrams detection performed.
2024-06-05 19:46:27,555 INFO:        + There are 0 texts that have been discarded.
2024-06-05 19:46:27,556 INFO:        + There are 49897 texts left.
2024-06-05 19:46:27,557 INFO: Tweets processed. There are 049897 left after processing.
2024-06-05 19:46:27,558 INFO: Resamling dataset.
2024-06-05 19:46:27,560 INFO:    Searching for 1000 tweets of each group.
2024-06-05 19:46:27,621 INFO:       + Resampling has finished succesfully.
2024-06-05 19:46:27,622 INFO: Computing tfidf vectorization.
2024-06-05 19:46:29,447 INFO: tfidf vectorization finished with 07527 tokens.
2024-06-05 19:46:29,449 INFO: Calculating most frequent words per cluster.
2024-06-05 19:46:30,237 INFO: Top 5 words per cluster are:
2024-06-05 19:46:30,256 INFO:    + CLUSTER 01: ['rusi', 'ucranian', 'guerr', 'putin', 'otar']
2024-06-05 19:46:30,257 INFO:    + CLUSTER 02: ['qat', 'mundiald', 'dereit', 'human', 'fifi']
2024-06-05 19:46:30,258 INFO:    + CLUSTER 03: ['vacun', 'covic', 'olab', 'grip', 'mascarill']
2024-06-05 19:46:30,260 INFO:    + CLUSTER 04: ['inflacionari', 'energit', 'precis', 'crisis', 'gas']
2024-06-05 19:46:30,261 INFO:    + CLUSTER 05: ['mellill', 'inmigr', 'mendy', 'marlsk', 'tragedi']
2024-06-05 19:46:30,262 INFO:    + CLUSTER 06: ['ir', 'mujic', 'protests', 'iranis', 'muert']
2024-06-05 19:46:30,263 INFO:    + CLUSTER 07: ['leyv', 'trans', 'generp', 'igualdaf', 'iren']
2024-06-05 19:46:30,265 INFO:    + CLUSTER 08: ['sell', 'comun', 'partd', 'correg', 'centernari']
2024-06-05 19:46:30,266 INFO:    + CLUSTER 09: ['madrileñxs', 'sanid', 'ayusi', 'publicit', 'huelg']
2024-06-05 19:46:30,267 INFO:    + CLUSTER 10: ['delti', 'sedicion', 'malves', 'reformul', 'independentist']
2024-06-05 19:46:30,268 INFO: Saving processed data.
2024-06-05 19:47:21,312 INFO: Processing finished.
2024-06-05 19:47:21,313 INFO: ------------------------------------------------------------------------------------------------------------------------
2024-06-05 19:47:27,766 INFO: ------------------------------------------------------------------------------------------------------------------------
2024-06-05 19:47:27,767 INFO: Starting dimensionality reduction.
2024-06-05 19:47:27,768 INFO: Loading tfidfs.
2024-06-05 19:47:38,719 INFO: 010000 tfidfs have being loaded.
2024-06-05 19:47:39,396 INFO: Performing PCA model.
2024-06-05 19:47:39,397 INFO:     Building PCA model with parameters:
2024-06-05 19:47:39,398 INFO:        - n_components = 2
2024-06-05 19:47:39,399 INFO:        - svd_solver = auto
2024-06-05 19:47:39,400 INFO:        - seed = 1712
2024-06-05 19:47:39,401 INFO:     Embedding data with PCA model.
2024-06-05 19:47:44,753 INFO:     Data embedded succesfully.
2024-06-05 19:47:44,763 INFO: Performing TSNE model.
2024-06-05 19:47:44,765 INFO:     Building TSNE (execution 0) model with parameters:
2024-06-05 19:47:44,767 INFO:        - n_components = 2
2024-06-05 19:47:44,769 INFO:        - init = pca
2024-06-05 19:47:44,770 INFO:        - perplexity = 40
2024-06-05 19:47:44,771 INFO:        - early_exageration = 25.0
2024-06-05 19:47:44,772 INFO:        - learning_rate = 500
2024-06-05 19:47:44,774 INFO:        - n_iter = 100000
2024-06-05 19:47:44,775 INFO:        - n_iter_without_progress = 1000
2024-06-05 19:47:44,776 INFO:        - n_jobs = -1
2024-06-05 19:47:44,778 INFO:        - random_state = 1712
2024-06-05 19:47:44,779 INFO:        - verbose = 0
2024-06-05 19:47:44,781 INFO:     Embedding data with TSNE model.
