"";"full_text"
"54";"“Hijo, ha empezado la guerra”. Con estas palabras despertaron a Misha el día que empezó la invasión de Ucrania  https://t.co/wASE4TwVHe a través de @el_pais 

Otro art[iculo especialmente sensible, Luìs  de Vega"
"55";"@Fran_Guerrero82 @sanchezcastejon Dale las gracias por pagar 0,50€ más que antes de la guerra en Ucrania, aún estando el petróleo más barato que entonces. NOS TOMAN EL PELO."
"56";"@RishiSunak ""Desde los primeros días de la guerra, Ucrania y el Reino Unido han sido los aliados más poderosos"", escribió el presidente ucraniano, Volodimir Zelenski en Telegram

https://t.co/GH7eTlJmSS"
"57";"@Eduaussie14 @IracundoIsidoro Ucrania no es de la OTAN, aunque fuera lo que deseaban. Ese es precisamente uno de los motivos por los que ha acabado en guerra..."
"58";"@NunezFeijoo @ppbalears @populares Te estás preparando para la guerra
De UCRANIA??"
"59";"Cumbre de APEC cierra y mayoría condena la guerra en Ucrania https://t.co/HAvHRIvIWO"
"60";"Pues yo veo más gente buscando trabajo médicos manejando taxis o de taqueros ingenieros de albañiles hombres y mujeres jóvenes prostituyendo se en el extranjero dicen la verdad de México país más violento que en la guerra de Ucrania y el peso por el suelo lástima."
"61";"Guerra Ucrania - Rusia, última hora | Ucrania muestra una cámara de tortura de Rusia en Jersón | Internacional https://t.co/KGQ75AhQmF"
"62";"@rita_armas @casa_hungara @diariodeavisos Lo triste es que esos maricones no roban a los causantes y que colaboran para esta crisis energética, la guerra de Ucrania no cuela como excusa."
"63";"@bernabepaco Os informo que debido a la guerra de Ucrania, lápices de Colores Alpino está teniendo problemas de abastecimiento de los componentes básicos para crear el azul."
"64";"@pmarsupia Otro escribiendo pendejadas.
Si ucrania tiene trenes es por que Rusia quiere conservar algunos lazos despúes de que la guerra termine.
De otro manera no estarian en pie las redes ferroviarias sus puentes y estaciones, serian polvo."
"65";"Primer ministro británico reafirma apoyo a Ucrania tras visita a Kiev https://t.co/6coG8QIgNi"
"66";"“No quiero averiguar q pueden hacerme para forzarme a ir a la guerra,x eso me he ido” https://t.co/1TWv2bpX7a @elsaltodiario ""Si dices abiertamente q no estás a favor d la guerra y q estás en total desacuerdo es posible q alguien haga una llamada anónima para den..."" #Noalaguerra"
"67";"pandemia, cadena de suministros, guerra de Ucrania y los desastres climáticos, han sido los elementos constitutivos del fortalecimiento del dólar a nivel mundial…por favor entérense y verán que el presidente Petro no tuvo incidencia alguna!!"
"68";"<U+0001F4F9> <U+0001F5E3><U+FE0F> La reportera apareció en pantalla visiblemente afectada, confesando además las duras condiciones que ha debido enfrentar en medio de la guerra. https://t.co/kylL3Az6tR"
"69";"<U+0001F6A8> #Guerra l Los soldados rusos colocaron minas incluso en las camas de los jardines de infancia de Járkov antes de su repliegue y abandono de la capital de esa región.
https://t.co/NKztaZGOCC

#Rusia #Ucrania"
"70";"La agenda de la @UNIONEUROPEA es la del resto del mundo? Y la guerra en #Ucrania? Y el rearme de la #UE? Y el envío de armamento pesado a #Ucrania, no eleva la contaminación? https://t.co/HPLtQPZy17"
"71";"@carrusel @jordimartiras Vivimos en una sociedad hipócrita, dura guerra de críticas al mundial #Qatar2022(Bien justificadas), pero Rusia mantiene una feroz guerra contra Ucrania, se dice y no pasa nada (Todo en el mismo mundo), de que estamos hablando <U+0001F937><U+0001F3FE><U+200D><U+2642><U+FE0F>#SociedadHipocrita"
"72";"<U+0001F4F8> El frío como castigo bélico: fotos de los paisajes de la guerra de Ucrania antes y después de la nevada 

<U+0001F517> https://t.co/qxZeTuSsXz

<U+0001F4F8> <U+270D><U+FE0F> @Ldevega https://t.co/Nu1Cc3cwTX"
"73";"#19Nov | El primer tren procedente de Kiev desde el inicio de la guerra llegó esta mañana a Jersón, que había estado ocupada desde principios de marzo por las tropas rusas hasta el reciente repliegue de esta ciudad del sur de Ucrania. https://t.co/aKCHNemRIv"
"74";"@GonestAlbert realmente esa fue la intencion  de Polonia, Ucrania y algunos Paises de  Europa crear una amenaza de guerra nuclear contra Rusia, para que estos salieran de Ucrania , Polonia fue el Pais que mas presiono por una solucion nuclear"
"75";"Los periodistas que están en Irak,Afganistán, Ucrania que andan criticando a las personas que están en esos países por ser parte de una guerra a pesar de que se pueden ir.
Uds  están en esos países en guerra, aprovechándose para hacer videos virales.

Jerry Di se le metió a Nanu. https://t.co/Lq0wEUYVxa"
"76";"Problemas mundiales para 2023: 1) el impacto de la Guerra de Ucrania, 2) la alta inflación, 3) el caos en los mercados energéticos y 4) el incierto camino de China después de la pandemia. Para complicar aún más las cosas, todas estos problemas están estrechamente entrelazados. https://t.co/sgQNqz2Lfw"
"77";"@ManuSori @RosaRoa52671979 @edubarriga14 @UKR_token Hace 8 años EEUU provocó el golpe de estado en Ucrania, lo hizo el asesino y Nobel de la paz Obama con el psicópata de Mc Cain, ellos provocaron el golpe de estado en Ucrania, ese día comenzó la guerra con la matanza del Maidan, EEUU armó a los neonazis."
"78";"“No quiero averiguar qué pueden hacerme para forzarme a ir a la guerra, por eso me he ido” https://t.co/1pS0fT7qiM vía @elsaltodiario"
"79";"La sexta cámara informa que el Ministerio de Defensa de Ucrania anunció que devolvería Crimea a fines de diciembre y que la guerra terminaría a fines de la primavera. <U+0001F43D><U+0001F921> https://t.co/N9Mq2Tulbk"
"80";"Dudo que Ucrania haga desvío del fondo de guerra que le confiere Estados Unidos. El Tío Sam no lo permitiría, dado que arriesga su hegemonía en esta confrontación indirecta contra la Madre Rusia.

A menos que alguien en Estados Unidos haga lo mismo... <U+0001F914>

https://t.co/UjmwoZxEHE"
"81";"Primer ministro del Reino Unido, Rishi Sunak, realizó este sábado su primera visita a Kiev desde q asumió el poder y sostuvo reunión con Volodymyr Zelenski. ""Desde los primeros días de la guerra, Ucrania y el Reino Unido han sido los aliados + fuertes, dijo presidente ucraniano. https://t.co/8IGzoD9vLh"
"82";"Estaban llamando a una guerra nuclear diciendo que Rusia había bombardeado Polonia, pero se dice que 'Ucrania' bombardeó Polonia 'por error'.
Un pequeño error de cálculo.
Un mapa ayuda a situarnos. https://t.co/dbWRJhZLjF"
"83";"Llega a Jersón el primer tren desde Kiev desde el comienzo de la guerra en Ucrania https://t.co/pmp8DenLWy"
"84";"“No quiero averiguar qué pueden hacerme para forzarme a ir a la guerra, por eso me he ido” https://t.co/1pS0fT6Ste vía @elsaltodiario"
"85";"#HablandoClaro, ¡cuánta razón tienen los ucranianos! No deberíamos decir ""guerra de Ucrania"" sino #invasiónRusa #RussianInvasion
#<U+0420><U+043E><U+0441><U+0441><U+0438><U+044F><U+0438><U+0434><U+0442><U+0438><U+0434><U+043E><U+043C><U+043E><U+0439> #RussiaGoHome
#RusiaVeteACasa"
"86";"@abc_es ¿A QUIÉN QUIEREN ENGAÑAR NOSOTROS-OTAN-ONU-UE-RU-DE?
Han estado en guerra con Rusia y sus aliados desde 2014.
INFLACIÓN.
MONEDAS SIN VALOR.
AUMENTO DE LAS TASAS DE INTERÉS CON DIFICULTAD DE ACCESO AL CRÉDITO
ESCASEZ DE ALIMENTOS, GAS, ELECTRICIDAD,..
https://t.co/b507GDY8PW"
"87";"@gabrielboric Me gustaría que me respondieras. Cómo puedes respaldar a ese tipo nefasto de UCRANIA, abiertamente NAZI , y que insiste en arrastrar al mundo a la tercera guerra. Me puedes responder?"
"88";"Un excelente hilo con los antecedentes históricos de la guerra en Ucrania. Explica perfectamente porqué se dio la guerra civil que antecedió a la invasión de Rusia. 
https://t.co/k7fEQMIR7z"
"89";"Tremenda esta foto de la gente esperando un ultimo tren para huir de la guerra en Ucrania. Pobre gente. https://t.co/kzzShzU5TY"
"90";"El primer tren procedente de Kiev desde el inicio de la guerra llegó esta mañana a Jersón, que había estado ocupada desde principios de marzo por las tropas rusas hasta el reciente repliegue de esta ciudad del sur de Ucrania. (El País)"
"91";"El relato de un deserto de la guerra de Ucrania: “No quiero averiguar qué pueden hacerme para forzarme a ir a la guerra, por eso me he ido”.
Por @tergar_
https://t.co/69mw1vuQ4C https://t.co/Tn5Ej3fAGT"
"92";"@Pontifex_es Anda a Ucrania para la guerra y deja de hablar"
"93";"<U+0001F534>ULTIMA HORA<U+0001F534> LO QUE SABIAMOS ACABA DE PASAR. #EEUU  admite que Ucrania tiene pocas probabilidades de ganar la guerra, que #Ucrania tiene enormes pérdidas en todo aspecto y está lastrando finanzas de #Washington que se ve obligado a sostener un país quebrado. #Rusia #OTAN #ONU https://t.co/8bhMIb4Gxd"
"94";"@javilsantos Está con la guerra de Ucrania y con las atrocidades que se cometen allí? Y por eso se pone a hablar de dopaje deportivo y de Guantánamo?"
"95";"Los republicanos ven que EEUU  está en  declive por la guerra de Ucrania , e investigarán que se hace el dinero que envía a Zelenski. https://t.co/qhDEJ895jp"
"96";"@miguelsabat @DefenceU El tipo se ve muy joven para ser general ¿No te parece?
Indistintamente, creo que la campaña de publicitaria de Ucrania en esta guerra está marcando un hito de antes y después."
"97";"@3Diyego @namela7919 Cómo también jamás he entendido que le declaran la guerra a Hitler en 1939 por invadir Polònia y no a Stalin por hacer lo mismo, pero peor (matanza de Katín), o las limpiezas étnicas de Stalin en las Bálticas, Ucrania, Finlàndia, Kalingrado o Polonia
O el Holodonor, o Praga, o +"
"98";"@SuselyMorfaG Hay guerra,el mundo no se ha enterado,era en ucrania,pero a juzgar por la destrucción de muchos edificios ,ya tenéis bombardeo"
"99";"Guerra Ucrania - Rusia, última hora en directo | Moscú minó hasta las camas de la guardería antes de replegarse en Járkov https://t.co/Sn4yrQ77L4"
"100";"Suecia confirma el sabotaje del Nord Stream al hallar trazas de explosivo en los tramos dañados
  https://t.co/U4Uzn9I5Wg"
"101";"@namela7919 Fácil, si el misil que explotó en Polonia hubiera sido ruso teníamos guerra porque hay que defender UE… la OTAN …

Como el misil lo tiró ucrania. No defendemos a Polonia ante el ataque. 

Esta es la hipocresía"
"102";"El presidente de Francia, Emmanuel Macron, ha trasladado este viernes a los líderes del Foro de Cooperación Económica Asia-Pacífico (APEC) que la guerra en Ucrania ""también es su problema"" y ha apelado a estos países a que se unan al ""consenso creciente"" contra Moscú."
"103";"@jocamoga @Azuldeprusia3 @namela7919 Crimea históricamente perteneció a Rusia. Sólo se cedió el control a la República Socialista Soviética de Ucrania.
Las masacres del Dombas sólo las puede tapar uno que quiera comprarse el relato de lo impecable que es el gobierno ucraniano.
De ahí a provocar una guerra pues No."
"104";"@GalileoArms Es sumamente gratificante ver a esos perros sucios rusos inertes, el último soldado les hizo un favor, fué mejor que se conviertan en abono a que Ucrania los haya tenido que alimentar como prisioneros de guerra. Enhorabuena"
"105";"@GalileoArms La guerra es confusa, caótica y despiadada. Pero un crimen es un crimen. Esto se debería juzgar y castigar. La justa causa de Ucrania y los miles de muertos (y crímenes) que ha dejado la invasión rusa no se merecen esto"
"106";"@GalileoArms Me vuele a blanqueamiento de un muy posible crimen de guerra ucraniano. Cada quien que crea lo que quiera.

Desde hace años que a Ucrania se le tolera todo, incluso que lance misiles a sus vecinos."
"107";"Vaya con la guerra de ucrania, 
https://t.co/QQeI03nAzw"
